ws_id;ws_name;ws_origin;ws_lat;ws_lon
63a374da05732d2a14260569;Tahtay Koraro;NMA-EIAR;14.096229;38.28583
63a374da05732d2a1426056a;Tselemti;NMA-EIAR;13.635414;38.14343
5eb346bcebd0050e38685f1a;Kobo Town;NMA-EIAR;12.15088;39.63358
5eb346bcebd0050e38685f1b;Robit Town;NMA-EIAR;12.0108;39.62647
5eb346bcebd0050e38685f1c;Gobeye Town;NMA-EIAR;11.95081;39.66436
5eb346bcebd0050e38685f1d;MUJA Town;NMA-EIAR;12.00793;39.28609
5eb346bcebd0050e38685f1e;KULMESK Town;NMA-EIAR;11.93559;39.20514
5eb346bcebd0050e38685f1f;Filahit Town;NMA-EIAR;11.76426;38.74311
5eb346bcebd0050e38685f20;Kon Town;NMA-EIAR;11.60873;38.93212
5eb346bcebd0050e38685f21;Wegel tena Town;NMA-EIAR;11.59321;39.21639
5eb346bcebd0050e38685f22;Hara Town;NMA-EIAR;11.84149;39.74333
5eb346bcebd0050e38685f23;Mersa Town;NMA-EIAR;11.66434;39.65865
5eb346bcebd0050e38685f24;Wergesa Town;NMA-EIAR;11.54357;39.62262
5eb346bcebd0050e38685f25;Woldiya Town;NMA-EIAR;11.82335;39.59416
5eb346bcebd0050e38685f26;Lalibela Town;NMA-EIAR;12.02886;39.04643
5eb346bcebd0050e38685f27;ZEBILO;NMA-EIAR;12.2013;38.52775
5eb346bcebd0050e38685f28;KOB;NMA-EIAR;12.23675;38.62049
5eb346bcebd0050e38685f29;Bir Kuakua;NMA-EIAR;12.1634;38.6564
5eb346bcebd0050e38685f2a;KWARO;NMA-EIAR;12.08379;38.68552
5eb346bcebd0050e38685f2b;Kidus Harbi;NMA-EIAR;12.07097;38.78546
5eb346bcebd0050e38685f2c;Ayina Mikael;NMA-EIAR;12.14094;38.86524
5eb346bcebd0050e38685f2d;Meskel Kirstos;NMA-EIAR;12.14022;38.79169
5eb346bcebd0050e38685f2e;AYINA EYESUS;NMA-EIAR;12.17168;38.82701
5eb346bcebd0050e38685f2f;Gul Wuha;NMA-EIAR;12.18389;38.7408
5eb346bcebd0050e38685f30;Burko;NMA-EIAR;12.24807;38.7573
5eb346bcebd0050e38685f31;LAY DIBA;NMA-EIAR;12.22653;38.83094
5eb346bcebd0050e38685f32;DARIYA;NMA-EIAR;12.23438;38.90946
5eb346bcebd0050e38685f33;Serzina;NMA-EIAR;12.10878;38.90581
5eb346bcebd0050e38685f34;Mehago;NMA-EIAR;12.31117;39.39846
5eb346bcebd0050e38685f35;Kobo Tetera;NMA-EIAR;12.29872;39.48796
5eb346bcebd0050e38685f36;Jemedo;NMA-EIAR;12.25981;39.43086
5eb346bcebd0050e38685f37;Bereha;NMA-EIAR;12.21189;39.45482
5eb346bcebd0050e38685f38;Ayub;NMA-EIAR;12.23219;39.59664
5eb346bcebd0050e38685f39;Jerota;NMA-EIAR;12.28049;39.64447
5eb346bcebd0050e38685f3a;Mesno;NMA-EIAR;12.28521;39.74007
5eb346bcebd0050e38685f3b;Rama;NMA-EIAR;12.23207;39.73061
5eb346bcebd0050e38685f3c;Zobel;NMA-EIAR;12.173;39.76863
